Output Order,Index Name,In Text Name,Category,Introduced in Version,Description,Numerator/equation,Denominator,Corpus/Database,Reference,Corpus/Database Reference,Mode-Genre,Raw/Lemma,Types of Words,Raw/Log,Tokens/Types
73,BNC_Spoken_Bigram_Normed_Freq_Log,BNC Spoken Bigram Frequency Logarithm,Ngram Frequency,TAALES 1.0,Mean Frequency Score,Sum logged bigram frequency score,number of bigrams in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,All Words,Log Transformed,Tokens
74,BNC_Written_Bigram_Freq_Normed,BNC Written Bigram Frequency,Ngram Frequency,TAALES 1.0,Mean Frequency Score,Sum bigram frequency score,number of bigrams in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,All Words,Raw,Tokens
75,BNC_Written_Bigram_Freq_Normed_Log,BNC Written Bigram Frequency Logarithm,Ngram Frequency,TAALES 1.0,Mean Frequency Score,Sum logged bigram frequency score,number of bigrams in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,All Words,Log Transformed,Tokens
76,BNC_Spoken_Trigram_Normed_Freq,BNC Spoken Trigram Frequency,Ngram Frequency,TAALES 1.0,Mean Frequency Score,Sum trigram frequency score,number of trigrams in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,All Words,Raw,Tokens
77,BNC_Spoken_Trigram_Normed_Freq_Log,BNC Spoken Trigram Frequency Logarithm,Ngram Frequency,TAALES 1.0,Mean Frequency Score,Sum logged trigram frequency score,number of trigrams in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,All Words,Log Transformed,Tokens
78,BNC_Written_Trigram_Freq_Normed,BNC Written Trigram Frequency,Ngram Frequency,TAALES 1.0,Mean Frequency Score,Sum trigram frequency score,number of trigrams in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,All Words,Raw,Tokens
79,BNC_Written_Trigram_Freq_Normed_Log,BNC Written Trigram Frequency Logarithm,Ngram Frequency,TAALES 1.0,Mean Frequency Score,Sum logged trigram frequency score,number of trigrams in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,All Words,Log Transformed,Tokens
80,BNC_Spoken_Bigram_Proportion,BNC Spoken Bigram Proportion 50k,Ngram Frequency,TAALES 1.0,"Proportion of bigrams in text that are within the most frequent 50,000 bigrams",Number of text bigrams in list,number of bigrams in text with frequency score,British National Corpus,"Crossley et al., 2012","BNC, 2007",Spoken,Raw,All Words,Raw,Tokens
81,BNC_Written_Bigram_Proportion,BNC Written Bigram Proportion 50k,Ngram Frequency,TAALES 1.0,"Proportion of bigrams in text that are within the most frequent 50,000 bigrams",Number of text bigrams in list,number of bigrams in text with frequency score,British National Corpus,"Crossley et al., 2012","BNC, 2007",Written,Raw,All Words,Raw,Tokens
82,BNC_Spoken_Trigram_Proportion,BNC Spoken Trigram Proportion 50k,Ngram Frequency,TAALES 1.0,"Proportion of bigrams in text that are within the most frequent 50,000 bigrams",Number of text trigrams in list,number of trigrams in text with frequency score,British National Corpus,"Crossley et al., 2012","BNC, 2007",Spoken,Raw,All Words,Raw,Tokens
83,BNC_Written_Trigram_Proportion,BNC Written Trigram Proportion 50k,Ngram Frequency,TAALES 1.0,"Proportion of bigrams in text that are within the most frequent 50,000 bigrams",Number of text trigrams in list,number of trigrams in text with frequency score,British National Corpus,"Crossley et al., 2012","BNC, 2007",Written,Raw,All Words,Raw,Tokens
84,COCA_Academic_Range_AW,COCA Academic Range AW,Word Range,TAALES 2.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
